word	part_of_speech	major	minor
똑똑하다	형용사	인간	능력
똑똑히	부사	인간	태도
똑바로	부사	개념	모양
뚜렷이	부사	개념	모양
뚱뚱하다	형용사	인간	용모
뛰다01	동사	인간	신체 행위
뛰다01	동사	인간	신체 행위
뛰다02	동사	인간	신체 행위
뛰어가다	동사	인간	신체 행위
뛰어가다	동사	인간	신체 행위
뛰어나다	형용사	인간	능력
뛰어나오다	동사	인간	신체 행위
뛰어내리다	동사	인간	신체 행위
뛰어넘다	동사	인간	신체 행위
뛰어놀다	동사	인간	신체 행위
뛰어다니다	동사	인간	신체 행위
뛰어들다	동사	인간	신체 행위
뛰어들다	동사	인간	신체 행위
뜨겁다	형용사	개념	온도
뜨다04	동사	식생활	식사 및 조리 행위
뜨다04	동사	식생활	식사 및 조리 행위
뜨다05	동사	인간	신체 행위
뜻	명사	인간	인지 행위
라디오	명사	주생활	생활용품
라면	명사	식생활	음식
라일락00	명사	동식물	식물류
라켓	명사	삶	여가 도구
량01	명사	개념	양
러시아	명사	개념	지역
레몬	명사	식생활	과일
레스토랑	명사	식생활	식생활 관련 장소
레슬링	명사	삶	여가 활동
레저	명사	삶	여가 활동
렌터카	명사	사회생활	교통수단
-로01	접사	사회생활	교통 이용 장소
로그인	명사	사회생활	통신 행위
-론	접사	교육	전공과 교과목
리모컨	명사	주생활	생활용품
리터	의존명사	개념	양
리포터	명사	사회생활	직업
마누라	명사	삶	친족 관계
마늘00	명사	식생활	식재료
마당01	명사	주생활	주택 구성
마디	명사	개념	세는 말
마라톤	명사	삶	여가 활동
마루02	명사	주생활	주택 구성
마리	의존명사	개념	세는 말
마비	명사	삶	병과 증상
마시다	동사	식생활	식사 및 조리 행위
마을	명사	주생활	주거 지역
마음	명사	인간	인지 행위
마음먹다	동사	인간	인지 행위
마저	부사	개념	양
마중	명사	사회생활	사회 활동
마지막	명사	개념	순서
마지못하다	형용사	인간	태도
마취	명사	삶	치료 행위
마침	부사	개념	시간
마트	명사	경제생활	경제 행위 장소
마흔02∙마흔01	수사∙관형사	개념	수
막01	부사	개념	시간
막02	부사	인간	태도
막강	명사	개념	정도
막걸리	명사	식생활	음료
막내	명사	삶	친족 관계
막대하다	형용사	개념	모양
막막하다02	형용사	개념	성질
막무가내	명사	인간	태도
막연하다	형용사	인간	감정
막중하다	형용사	개념	성질
막차	명사	사회생활	교통수단
막히다	동사	사회생활	교통 이용 행위
막힘없이	부사	개념	모양
만04/만03	수사/관형사	개념	수
만05/만00	관형사/명사	개념	수
만나다	동사	사회생활	사회 활동
만남	명사	사회생활	사회 활동
만두	명사	식생활	음식
만원	명사	개념	양
만장일치	명사	사회생활	사회 생활 상태
만점	명사	개념	수
만점	명사	개념	정도
만족	명사	인간	감정
만족도	명사	인간	감정
만족스럽다	형용사	인간	감정
만지다	동사	인간	신체 행위
만화	명사	문화	미술
많다	형용사	개념	양
많아지다	동사	개념	양
많이	부사	개념	양
맏이	명사	삶	친족 관계
맏형	명사	삶	친족 관계
말01	명사	사회생활	언어 행위
말01	명사	사회생활	언어 행위
말04	명사	동식물	동물류
말06	의존명사	개념	시간
말기	명사	개념	시간
말끝	명사	사회생활	소통 수단
말다01	동사	인간	신체 행위
말다02	동사	식생활	식사 및 조리 행위
말단	명사	사회생활	직위
말레이시아	명사	개념	지역
말리다03	동사	주생활	가사 행위
말문	명사	사회생활	소통 수단
말솜씨	명사	인간	능력
말썽	명사	사회생활	사회 활동
말씀	명사	사회생활	언어 행위
말없이	부사	인간	태도
말없이	부사	인간	태도
말재주	명사	인간	능력
말하기	명사	사회생활	언어 행위
맑다	형용사	자연	기상 및 기후
맑다	형용사	자연	기상 및 기후
맛	명사	식생활	맛
맛없다	형용사	식생활	맛
맛있다	형용사	식생활	맛
망설이다	동사	인간	인지 행위
망신	명사	사회생활	사회 활동
맞다03	동사	인간	신체에 가하는 행위
맞다03	동사	인간	신체에 가하는 행위
맞벌이	명사	경제생활	경제 행위
맞은편	명사	개념	위치 및 방향
맞이하다	동사	사회생활	사회 활동
맞이하다	동사	사회생활	사회 활동
맡다02	동사	인간	신체 행위
매끄럽다	형용사	개념	성질
매년02/매년01	부사/명사	개념	시간
매니저	명사	사회생활	직업
매다01	동사	의생활	의복 착용 행위
매다01	동사	의생활	의복 착용 행위
매달02/매달01	부사/명사	개념	시간
매력	명사	인간	용모
매력적01∙ 매력적02	관형사∙명사	인간	용모
매매	명사	경제생활	경제 행위
매섭다	형용사	인간	성격
매우	부사	개념	정도
매운맛	명사	식생활	맛
매운탕	명사	식생활	음식
매일02/매일01	부사/명사	개념	시간
매입	명사	경제생활	경제 행위
매장03	명사	경제생활	경제 행위 장소
매점	명사	경제생활	경제 행위 장소
매주02/매주01	부사/명사	개념	시간
매체	명사	사회생활	매체
매출	명사	경제생활	경제 상태
매콤하다	형용사	식생활	맛
매표소	명사	삶	여가 시설
맥주	명사	식생활	음료
맨01	관형사	개념	정도
맨발	명사	인간	신체 부위
맨손	명사	인간	신체 부위
맵다	형용사	식생활	맛
맹세	명사	사회생활	사회 활동
머금다	동사	인간	신체 행위
머리	명사	인간	신체 부위
머리	명사	인간	신체 부위
머리맡	명사	개념	위치 및 방향
머리카락	명사	인간	신체 부위
머리칼	명사	인간	신체 부위
머무르다	동사	주생활	주거 행위
머물다	동사	주생활	주거 행위
머지않다	형용사	개념	시간
먹고살다	동사	삶	삶의 행위
먹구름	명사	자연	기상 및 기후
먹다02	동사	식생활	식사 및 조리 행위
먹음직스럽다	형용사	개념	모양
먹이다	동사	식생활	식사 및 조리 행위
먹히다	동사	식생활	식사 및 조리 행위
먼저02/먼저01	부사/명사	개념	순서
멀다01	동사	개념	위치 및 방향
멀리	부사	개념	위치 및 방향
멀미	명사	인간	생리 현상
멀어지다	동사	개념	위치 및 방향
멋	명사	의생활	의복 착용 상태
멋스럽다	형용사	인간	용모
멋있다	형용사	개념	모양
멋지다	형용사	의생활	의복 착용 상태
멍	명사	삶	병과 증상
멍들다	동사	삶	병과 증상
멍멍	부사	동식물	동물 소리
멍청하다	형용사	인간	태도
멍하니	부사	인간	태도
멍하다	형용사	인간	태도
메다	동사	인간	감각
메마르다	형용사	개념	성질
메모	명사	사회생활	소통 수단
메시지	명사	사회생활	소통 수단
메일	명사	사회생활	소통 수단
며느리	명사	삶	친족 관계
며칠	명사	개념	의문
면03	명사	의생활	옷감
면04	명사	식생활	음식
면담	명사	사회생활	사회 활동
면도	명사	의생활	미용 행위
면모	명사	개념	모양
면세점	명사	경제생활	경제 행위 장소
면역	명사	삶	병과 증상
면적	명사	개념	모양
면접	명사	사회생활	사회 활동
면접	명사	사회생활	사회 활동
면접시험	명사	사회생활	사회 활동
면회	명사	사회생활	사회 활동
멸치	명사	식생활	식재료
명02	의존명사	개념	세는 말
명당	명사	개념	지역
명랑	명사	인간	성격
명령	명사	사회생활	언어 행위
명료하다	형용사	개념	성질
명백하다	형용사	개념	성질
명사02	명사	사회생활	말
명상	명사	인간	인지 행위
명소	명사	삶	여가 시설
명승지	명사	삶	여가 시설
명심00	명사	인간	인지 행위
명칭	명사	사회생활	언어 행위
명품	명사	경제생활	경제 산물
명확히	부사	개념	성질
몇01/몇02	수사/관형사	개념	의문
몇몇02/몇몇01	관형사/수사	개념	수
모06/모07	대명사/관형사	개념	지시
모국어	명사	사회생활	말
모금01	의존명사	개념	세는 말
모기	명사	동식물	곤충류
모니터	명사	주생활	생활용품
모델	명사	사회생활	직업
모두01/모두02	명사/부사	개념	수
모든	관형사	개념	수
모래	명사	자연	지표면 사물
모레02/모레01	부사/명사	개념	시간
모르다	동사	인간	인지 행위
모발	명사	인간	신체 부위
모방	명사	인간	인지 행위
모색	명사	인간	인지 행위
모서리	명사	개념	모양
모습	명사	개념	모양
모양01	명사	개념	모양
모욕	명사	사회생활	언어 행위
모유	명사	식생활	음료
모음	명사	교육	학문 용어
모임	명사	사회생활	사회 활동
모자01	명사	삶	친족 관계
모자02	명사	의생활	모자, 신발, 장신구
모자라다	동사	개념	양
모조리	부사	개념	양
모퉁이	명사	개념	지역
모형	명사	개념	모양
모호하다	형용사	개념	성질
목01	명사	인간	신체 부위
목02	명사	개념	시간
목걸이	명사	의생활	모자, 신발, 장신구
목격	명사	정치와 행정	사법 및 치안 행위
목격자	명사	정치와 행정	사법 및 치안 주체
목구멍	명사	인간	신체 부위
목덜미	명사	인간	신체 부위
목도리	명사	의생활	모자, 신발, 장신구
목돈	명사	경제생활	경제 수단
목마르다01	형용사	인간	생리 현상
목사	명사	종교	종교인
목소리	명사	인간	생리 현상
목요일	명사	개념	시간
목욕	명사	삶	일상 행위
목욕탕	명사	주생활	주택 구성
목장	명사	경제생활	경제 행위 장소
목적어	명사	교육	학문 용어
목적지	명사	개념	지역
몰두하다	동사	인간	인지 행위
몰라보다	동사	인간	인지 행위
몰락	명사	경제생활	경제 상태
몰려가다	동사	인간	신체 행위
몰려오다	동사	인간	신체 행위
몰아쉬다	동사	인간	신체 행위
몸	명사	인간	신체 부위
몸매	명사	인간	용모
몸무게	명사	인간	용모
몸살	명사	삶	병과 증상
몸속	명사	인간	신체 부위
몸통	명사	인간	신체 부위
몹시	부사	개념	정도
못나다	형용사	인간	능력
못되다	형용사	인간	성격
못마땅하다	형용사	인간	감정
못생기다	형용사	인간	용모
못하다01/못하다02	동사/형용사	인간	능력
몽골	명사	개념	지역
몽땅01	부사	개념	양
묘미	명사	인간	감정
묘하다	형용사	개념	성질
무01	명사	식생활	채소
무겁다	형용사	개념	성질
무게	명사	개념	성질
무공해	명사	자연	기상 및 기후
무궁무진	명사	개념	양
무궁화	명사	동식물	식물류
